WHO report date;Total Cases, Guinea;Total Deaths, Guinea;Total Cases, Liberia;Total Deaths, Liberia;Total Cases, Sierra Leone;Total Deaths, Sierra Leone;Total Cases;Total Deaths
2015/09/21;3797;2532;10672;4808;13811;3955;28280;11295
2015/09/18;3794;2531;10672;4808;13785;3955;28251;11294
2015/09/17;3794;2530;10672;4808;13573;3955;28245;11293
2015/09/15;3792;2530;10672;4808;13756;3953;28220;11291
2015/09/14;3793;2530;10672;4808;13747;3953;28212;11291
2015/09/11;3791;2530;10672;4808;13701;3953;28164;11291
2015/09/10;3791;2530;10672;4808;13697;3953;28160;11291
2015/09/08;3792;2530;10672;4808;13683;3953;28147;11291
2015/09/04;3792;2529;10672;4808;13639;3953;28103;11290
2015/09/03;3792;2529;10672;4808;13638;3953;28102;11290
2015/09/01;3792;2529;10672;4808;13609;3953;28073;11290
2015/08/31;3790;2528;10672;4808;13603;3953;28065;11289
2015/08/28;3797;2528;10672;4808;13586;3952;28055;11288
2015/08/27;3797;2528;10672;4808;13582;3952;28051;11288
2015/08/25;3792;2527;10672;4808;13541;3952;28005;11287
2015/08/24;3790;2527;10672;4808;13538;3952;28000;11287
2015/08/21;3795;2526;10672;4808;13533;3952;28000;11286
2015/08/20;3792;2526;10672;4808;13518;3952;27982;11286
2015/08/18;3786;2524;10672;4808;13494;3952;27952;11284
2015/08/17;3790;2524;10672;4808;13489;3952;27951;11284
2015/08/14;3791;2524;10672;4808;13485;3952;27948;11284
2015/08/13;3792;2524;10672;4808;13484;3951;27948;11283
2015/08/11;3787;2524;10672;4808;13470;3951;27929;11283
2015/08/10;3791;2524;10672;4808;13465;3951;27928;11283
2015/08/07;3795;2524;10672;4808;13428;3951;27895;11283
2015/08/06;3792;2524;10672;4808;13426;3951;27890;11283
2015/08/05;3784;2522;10672;4808;13406;3951;27862;11281
2015/08/04;3784;2522;10672;4808;13406;3951;27862;11281
2015/08/03;3786;2522;10672;4808;13402;3951;27860;11281
2015/07/31;3781;2521;10672;4808;13387;3951;27840;11280
2015/07/30;3785;2521;10672;4808;13379;3951;27836;11280
2015/07/29;3786;2520;10672;4808;13290;3951;27748;11279
2015/07/28;3786;2520;10673;4808;13291;3951;27750;11279
2015/07/27;3792;2519;10673;4808;13284;3951;27749;11278
2015/07/24;3787;2517;10673;4808;13264;3949;27724;11274
2015/07/23;3788;2516;10673;4808;13262;3949;27723;11273
2015/07/22;3783;2512;10672;4808;13250;3949;27705;11269
2015/07/21;3783;2512;10673;4808;13250;3949;27706;11269
2015/07/20;3784;2511;10673;4808;13241;3949;27698;11268
2015/07/17;3770;2509;10673;4808;13209;3947;27652;11264
2015/07/16;3762;2506;10672;4808;13209;3947;27643;11261
